date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:42:54	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jan%202025%2000:43:39%20GMT	https://web.archive.org/robots.txt		(from )
01:42:54	29302/29302	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202025%2000:43:39%20GMT	https://web.archive.org/web/20130530032451/http://www.nplay.com/	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451/http_/www.nplay.com/index.html	(from )
01:42:55	15127/15127	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2267128668-3b17%22	http://archive.org/includes/athena.js	C:/Users/Javi/Desktop/paginaweb/prueba/archive.org/includes/athena.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:55	24154/24154	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2016%20Nov%202024%2011:07:52%20GMT	https://web.archive.org/_static/js/bundle-playback.js?v=HxkREWBo	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/_static/js/bundle-playback8db8.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:56	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2016%20Nov%202024%2011:07:29%20GMT	https://web.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:56	9867/9867	---MCZ	200	added ('OK')	text/css	date:Sat,%2016%20Nov%202024%2011:07:21%20GMT	https://web.archive.org/_static/css/banner-styles.css?v=S1zqJCYt	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/_static/css/banner-styles52e6.css	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:56	344533/344533	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2016%20Nov%202024%2011:07:54%20GMT	https://web.archive.org/_static/js/ruffle/ruffle.js	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:57	5649/5649	---MCZ	200	added ('OK')	text/css	date:Sat,%2016%20Nov%202024%2011:07:26%20GMT	https://web.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:42%20GMT	https://web.archive.org/web/20130530032451js_/http://www.nplay.com/externals/mootools/mootools-1.2.5-core-yc.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451js_/http_/www.nplay.com/externals/mootools/mootools-1.2.5-core-yc920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:57	68546/68546	---MC-	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Jan%202025%2000:43:42%20GMT	https://web.archive.org/web/20130502181350js_/http://www.nplay.com/externals/mootools/mootools-1.2.5-core-yc.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130502181350js_/http_/www.nplay.com/externals/mootools/mootools-1.2.5-core-yc920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:42%20GMT	https://web.archive.org/web/20130530032451js_/http://www.nplay.com/externals/mootools/mootools-1.2.5.1-more-yc.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451js_/http_/www.nplay.com/externals/mootools/mootools-1.2.5.1-more-yc920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:58	137567/137567	---MC-	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Jan%202025%2000:43:43%20GMT	https://web.archive.org/web/20130502181351js_/http://www.nplay.com/externals/mootools/mootools-1.2.5.1-more-yc.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130502181351js_/http_/www.nplay.com/externals/mootools/mootools-1.2.5.1-more-yc920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:43%20GMT	https://web.archive.org/web/20130530032451js_/http://www.nplay.com/externals/chootools/chootools.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451js_/http_/www.nplay.com/externals/chootools/chootools920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:58	31441/31441	---MC-	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Jan%202025%2000:43:43%20GMT	https://web.archive.org/web/20130502181353js_/http://www.nplay.com/externals/chootools/chootools.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130502181353js_/http_/www.nplay.com/externals/chootools/chootools920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:58	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:43%20GMT	https://web.archive.org/web/20130530032451js_/http://www.nplay.com/application/modules/Core/externals/scripts/core.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451js_/http_/www.nplay.com/application/modules/Core/externals/scripts/core920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:59	22600/22600	---MC-	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Jan%202025%2000:43:44%20GMT	https://web.archive.org/web/20130502181353js_/http://www.nplay.com/application/modules/Core/externals/scripts/core.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130502181353js_/http_/www.nplay.com/application/modules/Core/externals/scripts/core920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:44%20GMT	https://web.archive.org/web/20130530032451js_/http://www.nplay.com/application/modules/User/externals/scripts/core.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451js_/http_/www.nplay.com/application/modules/User/externals/scripts/core920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:59	6390/6390	---MC-	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Jan%202025%2000:43:44%20GMT	https://web.archive.org/web/20130502181354js_/http://www.nplay.com/application/modules/User/externals/scripts/core.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130502181354js_/http_/www.nplay.com/application/modules/User/externals/scripts/core920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:42:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:44%20GMT	https://web.archive.org/web/20130530032451js_/http://www.nplay.com/externals/smoothbox/smoothbox4.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451js_/http_/www.nplay.com/externals/smoothbox/smoothbox4920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:00	18478/18478	---MC-	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Jan%202025%2000:43:44%20GMT	https://web.archive.org/web/20130502181354js_/http://www.nplay.com/externals/smoothbox/smoothbox4.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130502181354js_/http_/www.nplay.com/externals/smoothbox/smoothbox4920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:45%20GMT	https://web.archive.org/web/20130530032451js_/http://www.nplay.com/application/modules/Activity/externals/scripts/core.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451js_/http_/www.nplay.com/application/modules/Activity/externals/scripts/core920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:00	13078/13078	---MC-	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Jan%202025%2000:43:45%20GMT	https://web.archive.org/web/20130502181354js_/http://www.nplay.com/application/modules/Activity/externals/scripts/core.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130502181354js_/http_/www.nplay.com/application/modules/Activity/externals/scripts/core920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:45%20GMT	https://web.archive.org/web/20130530032451js_/http://www.nplay.com/application/modules/Hecore/externals/scripts/core.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451js_/http_/www.nplay.com/application/modules/Hecore/externals/scripts/core920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:01	31818/31818	---MC-	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Jan%202025%2000:43:46%20GMT	https://web.archive.org/web/20130502181355js_/http://www.nplay.com/application/modules/Hecore/externals/scripts/core.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130502181355js_/http_/www.nplay.com/application/modules/Hecore/externals/scripts/core920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2012%20Jan%202025%2000:43:46%20GMT	https://web.archive.org/web/20130530032451js_/http://www.nplay.com/application/modules/Hecore/externals/scripts/imagezoom/core.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130530032451js_/http_/www.nplay.com/application/modules/Hecore/externals/scripts/imagezoom/core920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:01	15033/15033	---MC-	200	added ('OK')	application/x-javascript	date:Sun,%2012%20Jan%202025%2000:43:46%20GMT	https://web.archive.org/web/20130502181355js_/http://www.nplay.com/application/modules/Hecore/externals/scripts/imagezoom/core.js?c=94	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/web/20130502181355js_/http_/www.nplay.com/application/modules/Hecore/externals/scripts/imagezoom/core920c.js	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
01:43:02	6476/6476	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Nov%202024%2011:06:28%20GMT	https://web.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	C:/Users/Javi/Desktop/paginaweb/prueba/web.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	(from https://web.archive.org/web/20130530032451/http://www.nplay.com/)
